decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,13.0,788.0,2.0,True,59.654689787083655,60.576007761619984,0.0,0.0,24.277446639863776,22.19059588224627,0.0,0.44985662329676085,768,24,40,34295.78339999716
2,20.0,25.308563771890476,-25.308563771890476,13.0,788.0,2.0,14.0,280.0,1.0,True,56.42303328405911,56.89788406083826,0.0,0.0,23.06465847347863,20.581524854758754,0.0,0.29539097224746297,768,6,40,32546.653700002935
3,40.0,24.290111979702488,-24.290111979702488,14.0,280.0,1.0,16.0,380.0,1.0,True,53.16404971214715,53.24852693530265,0.0,0.0,21.800734950089826,19.123911371687427,0.0,0.06241261237790436,768,17,40,31845.214499997383
4,60.0,23.185971355298534,-23.185971355298534,16.0,380.0,1.0,9.0,606.0,1.0,True,49.53648015658325,49.807572647579946,0.0,0.0,20.381063551129774,17.545616632560268,0.0,0.1544738043573147,768,14,40,32354.191999998875
5,80.0,21.854524595895782,-21.854524595895782,9.0,606.0,1.0,20.0,640.0,1.0,True,45.80377808174169,45.90497052038554,0.0,0.0,18.904041214520113,15.988769499817863,0.0,0.13109027925326883,768,11,40,33111.8753999981
6,100.0,20.49187799380161,-20.49187799380161,20.0,640.0,1.0,3.0,679.0,1.0,True,41.58929270618936,42.1358432818437,0.0,0.0,17.23539067064412,14.23299134359695,0.0,0.20156931026457656,768,12,40,32398.935200006235
7,120.0,18.787787882843986,-18.787787882843986,3.0,679.0,1.0,14.0,467.0,1.0,True,37.20693039216803,37.79100378046278,0.0,0.0,15.505965722585097,12.386430828133598,0.0,0.17835329310432446,768,10,40,32929.168700000446
8,140.0,17.208479022840038,-17.208479022840038,14.0,467.0,1.0,15.0,625.0,1.0,True,33.14607259206476,33.281131180771624,0.0,0.0,13.86193741732277,10.842554120579734,0.0,0.09206971293508044,768,14,40,31977.629799999704
9,160.0,15.523480644682422,-15.523480644682422,15.0,625.0,1.0,7.0,662.0,1.0,True,29.326500180733884,29.347817076393405,0.0,0.0,12.291201709629968,9.48626039759256,0.0,0.09665626776665827,768,13,40,32892.57699999871
10,180.0,13.828081390121952,-13.828081390121952,7.0,662.0,1.0,14.0,600.0,1.0,True,25.601069361758054,25.71972389968578,0.0,0.0,10.796285961056128,8.015196366468444,0.0,0.08992564115738692,768,13,40,31835.853299999144
11,200.0,12.298040693858638,-12.298040693858638,14.0,600.0,1.0,4.0,1000.0,1.0,True,21.97322328894237,22.12531876976136,0.0,0.0,9.305383345903829,6.719723848858848,0.0,0.25946727052889224,768,14,40,32015.67739999882
12,220.0,10.758925637463108,-10.758925637463108,4.0,1000.0,1.0,11.0,525.0,3.0,True,18.516165793401274,18.645929671847263,0.0,0.0,7.919445111090317,5.348690932849422,0.0,0.29301047959297055,768,9,40,33529.244900004414
13,240.0,9.324233187595382,-9.324233187595382,11.0,525.0,3.0,7.0,1000.0,1.0,True,15.116697834982734,15.319345168420114,0.0,0.0,6.538683537999168,4.072959808865562,0.0,0.2850854551617906,768,22,40,32900.432899994485
14,260.0,7.905354177812114,-7.905354177812114,7.0,1000.0,1.0,6.0,1000.0,1.0,True,11.979330868048486,11.97937023381237,0.0,0.0,5.267849077517167,2.887029772857204,0.0,0.01178265855489032,768,11,40,32007.715100000496
15,280.0,6.6040692089591175,-6.6040692089591175,6.0,1000.0,1.0,6.0,943.0,1.0,True,9.017845163364688,9.053416768256785,0.0,0.0,4.047106900298968,1.7864271609578282,0.030088363215327263,0.03294190725105973,768,15,40,33025.746100000106
16,300.0,5.344228511909023,-5.344228511909023,6.0,943.0,1.0,3.0,1000.0,1.0,True,6.360378605172276,6.463777297039276,0.0,0.0,2.8246054718736557,0.5693467988166958,0.42601107999740173,0.048318201921507715,768,13,40,33222.23120000126
17,320.0,4.076615786412731,-4.076615786412731,3.0,1000.0,1.0,36.0,600.0,1.0,True,4.167794930494687,51.03418300128942,0.0,0.0,1.7899882303085177,0.006158991018310189,0.5802154009400221,0.45235734284745616,768,10,40,32551.825100003043
18,340.0,2.579107543686405,-2.579107543686405,36.0,600.0,1.0,1.0,1.0,6.0,True,39.497187081866585,78.47746855073486,0.40465484629385173,0.13235619381772146,0.9560546119348146,1.063718031393364,0.7045507559451984,0.5594568315294697,768,19,40,32940.09509999887
19,360.0,1.6082091687712818,-1.6082091687712818,1.0,1.0,6.0,1.0,1000.0,14.0,True,30.893411643335398,39.554431322654416,0.3204720502253622,0.11944137750163974,0.5048996332639945,0.25960275757825,0.5265412440378854,0.626441090223057,768,24,40,32285.31670000666
20,380.0,0.7857914289925247,-0.7857914289925247,1.0,1000.0,14.0,1.0,1000.0,16.0,True,31.147889787332492,33.79424444000353,0.3247488576453179,0.14000317531346287,0.2609129055868834,0.32070604688487947,0.28509934456150177,0.06077371254627639,768,20,40,33002.12360000296
21,400.0,-0.1831944005098194,0.1831944005098194,1.0,1000.0,16.0,1.0,1.0,6.0,True,23.17235833890873,35.03764669214004,0.23747224221006036,0.06547866237473579,0.7841073964489624,0.12144936947152019,0.5747552784976894,0.6524334730451598,768,17,40,31916.533900002833
22,420.0,1.1187962186522782,-1.1187962186522782,1.0,1.0,6.0,50.0,46.0,13.0,True,2.373218806326907,53.24181116024733,0.0,0.0,0.9270937266061082,0.011412812862545252,0.5071665834590287,0.6158363224389175,768,24,40,32437.082600001304
23,440.0,1.4402769752778113,-1.4402769752778113,50.0,46.0,13.0,50.0,806.0,15.0,True,31.366225799565797,48.49185599938255,0.33580833999440074,0.08473010727719824,0.6378576590446755,0.33580833999440074,0.5116017936742979,0.44340999369404677,768,19,40,34824.728600004164
